description_1,description_2,similarity_score
a brown wooden table with a single white candle,a wooden table with a single candle,0.9281008
yellow triangles arranged in a star shape,yellow triangles forming a star shape,0.95537525
a yellow sun over green hills,green hills under a yellow sun,0.9315175
a yellow sun over green hills,a yellow sun setting over hills,0.9365734
pink triangles forming a pattern,pink triangles forming a complex pattern,0.92033195
Three green trees on a brown hill.,three green trees on a brown hill,0.99229383
A pattern of small black dots on a white background.,a pattern of small black dots,0.9009372
A pattern of small black dots on a white background.,a pattern of black and white dots,0.9089973
A pattern of small black dots on a white background.,a pattern of small dots on a background,0.9109456
A pattern of small black dots on a white background.,a pattern of small black dots on white,0.9411201
A silver sphere reflecting a starry sky,a silver sphere reflecting a starry sky,1.0000002
Gold rings linked together,gold rings linked together,1.0
orange rings interlocking,interlocking orange rings,0.9827197
orange rings interlocking,interlocking orange and purple rings,0.9334691
a black and white checkered pattern,a checkered pattern in black and white,0.98489475
a purple flower with a yellow center,a purple flower with yellow center,0.997422
red and black polka dot umbrella,red and white polka dot umbrella,0.954746
a simple green square,a single green square,0.9395596
A white ceramic mug,a white ceramic mug,1.0
A white ceramic mug,a smooth white ceramic mug,0.949
A white ceramic mug,a simple white ceramic mug,0.97201633
A white ceramic mug,a white ceramic mug with a simple design,0.94291997
Purple velvet curtains,purple curtains,0.91165245
Purple velvet curtains,purple velvet curtains,0.99999964
a pink star on a black background,pink stars on a black background,0.9269966
a small red circle,a simple red circle,0.9034819
a pair of brown boots,a pair of simple brown boots,0.9613709
Black vertical stripes.,black and white vertical stripes,0.9123064
a red bicycle leaning against a blue wall,a red bicycle leaning against a wall,0.9606811
a red bicycle leaning against a blue wall,a bicycle leaning against a wall,0.90768516
a blue and white striped umbrella,a striped blue and white umbrella,0.996923
Gold hexagons arranged in a honeycomb,gold hexagons in a honeycomb pattern,0.9540403
green and yellow striped shirt,yellow and black striped shirt,0.90544426
blue jeans with a leather belt,blue denim jeans with a brown leather belt,0.9486731
a collection of overlapping cyan circles,a grid of overlapping cyan circles,0.9161224
a pair of bright red athletic shoes with white laces,a pair of white sneakers with red laces,0.9034599
a white cloud shaped like a sheep,a white cloud in the shape of a sheep,0.9654955
green squares arranged in a grid,green squares in a grid,0.9587928
a black and white striped pattern,a striped pattern with alternating white and brown stripes,0.9135835
a black and white striped pattern,a white and blue striped pattern,0.9204835
a black and white striped pattern,a grey and white striped pattern,0.9259716
a blue sphere floating in space,a vibrant blue sphere floating in space,0.9513974
A simple purple flower.,a simple purple flower,0.9885525
An orange sun setting over mountains.,a bright orange sun setting over distant mountains,0.94999564
A grayscale cityscape at night.,a grayscale cityscape at night,0.98843586
a blue leather jacket with zippers,a black leather jacket with zippers,0.90701216
cyan circles arranged in a grid,cyan circles in a grid,0.9643867
a green square with a black border,a green square with a white border,0.9218708
pink and white striped shirt,a pink and white striped shirt,0.96625936
orange dots on a black background,orange dots scattered on a black background,0.95600426
a silver spiral pattern on a black background,a silver spiral on a black background,0.93424654
Orange stripes on a black canvas.,orange stripes on a black canvas,0.96312094
A gray concrete wall with cracks.,a grey concrete wall with cracks,0.9782399
Purple dots scattered randomly.,purple dots scattered randomly,0.9743868
a rocky coastline at sunset,a rocky shore at sunset,0.91152513
a blue river flowing through a green valley,a winding blue river through a green valley,0.9541705
a blue river flowing through a green valley,a tranquil blue river flowing through a green valley,0.9495391
green geometric shapes on a white background,lime green geometric shapes on a white background,0.91209495
A yellow square inside a purple triangle.,an orange square inside a purple triangle,0.9029855
A cyan wave pattern.,a cool cyan wave pattern,0.95392644
a stack of books with colorful covers,a stack of colourful books,0.90222454
a stack of books with colorful covers,a stack of brightly colored books,0.90392566
a black and white checkered floor,black and white checkered floor,0.96905917
A single orange cube.,a single orange cube,0.9829023
A dark cave entrance.,A dark cave entrance,0.98421264
A dark cave entrance.,a dark cave entrance,0.98421276
A dark cave entrance.,a dark cave with an entrance light,0.90585643
A turquoise bird on a brown branch.,a turquoise bird on a branch,0.9367709
a red zig-zag line on a yellow background,a red zig-zag line on a black background,0.9377354
cyan circles on a black background,cyan circles overlapping on a black background,0.9213387
a silver spoon on a white table cloth,a silver spoon on a white tablecloth,0.9616541
a green apple with a brown stem,a light green apple with a brown stem,0.98773694
A single pink rose in a clear glass vase,a pink rose in a glass vase,0.94968945
Teal and orange abstract shapes,teal and orange abstract geometric shapes,0.94499266
Teal and orange abstract shapes,teal and orange abstract shapes,1.0
A single green apple,a green apple,0.94376826
A single green apple,a green apple with a single leaf,0.90273845
A stormy gray sky,a stormy grey sky,0.9804766
a collection of multicolored hexagons,a grid of multicolored hexagons,0.91148853
yellow flowers in a black vase,yellow flowers in a vase,0.93554586
a simple brown wooden door,a dark brown wooden door,0.9421595
a vibrant green leaf,a green leaf,0.9004923
a vibrant green leaf,a bright green leaf,0.9371691
a grey elephant with pink ears,a grey elephant with large ears,0.9098047
a single orange square,a simple orange square,0.93832934
checkered pattern in black and red,red and black checkered pattern,0.95877427
checkered pattern in black and red,a checkered pattern (red and black),0.940719
a white cloud in a clear sky,a single white cloud in a vast sky,0.9170399
a white cloud in a clear sky,a single white cloud in an empty sky,0.9005001
a sunlit desert landscape with cacti,a desert landscape with cacti,0.9537514
a sunlit desert landscape with cacti,a desert landscape with scattered cacti,0.93061984
a sunlit desert landscape with cacti,a sunny desert landscape with cacti,0.9704796
a sunlit desert landscape with cacti,a desert landscape with cacti and mountains,0.92399466
a sunlit desert landscape with cacti,a moonlit desert landscape with cacti,0.91527826
a sunlit desert landscape with cacti,a desert landscape with cacti under a bright sun,0.9658067
three overlapping gray rectangles,three overlapping grey rectangles,0.9872695
green circles arranged in a grid,green circles in a grid,0.9558567
a white cat sitting on a red cushion,a white cat on a red cushion,0.95365727
a calm blue lake,a clear blue lake,0.9202918
a calm blue lake,a calm blue lake under a clear sky,0.90238357
a blue ocean with white waves,white waves on a blue sea,0.913085
a blue ocean with white waves,a blue ocean with white-capped waves,0.95324767
a blue ocean with white waves,a deep blue ocean with white waves,0.9531349
a blue ocean with white waves,a dark blue ocean with white waves,0.96876776
a small gray cloud,a gray cloud,0.94160426
teal waves on a sandy beach at sunrise,teal waves on a sandy beach,0.91031307
abstract shapes in shades of brown and beige,abstract shapes in shades of brown,0.91057765
abstract shapes in shades of brown and beige,abstract shapes in shades of brown and green,0.91587424
an orange cone on a construction site,a bright orange construction cone,0.90449864
a lush green field under a blue sky,a lush green field under a clear sky,0.94528043
red brick wall with green ivy,a red brick wall with ivy,0.92716
red brick wall with green ivy,a red brick wall covered in ivy,0.9088207
red brick wall with green ivy,a red brick wall with green ivy,0.9643545
a silver crescent moon,a silver crescent moon in a dark sky,0.92882174
green grass under a clear blue sky,green grass under a clear sky,0.93441904
teal hexagons forming a honeycomb pattern,teal hexagons in a honeycomb pattern,0.9796244
green and black camouflage pattern,Green and brown camouflage pattern,0.9491087
a cityscape at night,An urban cityscape at night,0.97894126
a cityscape at night,a futuristic cityscape at night,0.9013206
overlapping translucent circles,overlapping translucent circles of different colors,0.94680905
overlapping translucent circles,overlapping translucent green circles,0.9354116
overlapping translucent circles,overlapping translucent translucent circles in shades of blue and green,0.90500766
overlapping translucent circles,overlapping transparent colorful circles,0.9164245
a chess board with pieces,a chessboard with pieces,0.97176147
a red brick wall,a dark red brick wall,0.94983625
a snowy mountain peak,a snow-capped mountain peak,0.92578447
a patterned rug,a patterned brown rug,0.900241
a patterned rug,a patterned rug with geometric shapes,0.9116266
a pair of glasses,a pair of eyeglasses,0.9012537
a vintage car parked on a street,a vintage car parked on a cobblestone street,0.9269221
emerald green velvet dress with lace trim,emerald green velvet dress with gold trim,0.90287507
beige linen trousers with drawstring waist,beige cotton trousers with a drawstring waist,0.9632953
beige linen trousers with drawstring waist,beige linen trousers with a drawstring waist,0.99397314
a foggy morning in a pine forest,a foggy morning in a forest,0.94963527
chocolate brown leather boots with buckles,brown leather boots with gold buckles,0.9081496
chocolate brown leather boots with buckles,dark brown leather boots with buckles,0.90860885
light blue cotton t-shirt with a pocket,white cotton t-shirt with a pocket,0.9248941
light blue cotton t-shirt with a pocket,pink cotton t-shirt with a pocket,0.9073572
a starry night over a snowy village,a starry night over a snowy landscape,0.90734935
white silk blouse with puffy sleeves,white cotton blouse with puffed sleeves,0.922055
white silk blouse with puffy sleeves,white blouse with puffy sleeves,0.9200791
a mosaic of brown and tan tiles,a mosaic of brown and beige tiles,0.92584693
olive green cargo pants with multiple pockets,olive green cargo pants with large pockets,0.9330044
olive green cargo pants with multiple pockets,green cargo pants with multiple pockets,0.9296629
a winding river through a forest,A river flowing through a forest,0.9050195
a winding river through a forest,A winding river through a forest.,0.9881078
dark grey suit jacket with a pinstripe,grey suit jacket with pinstripes,0.9576306
dark grey suit jacket with a pinstripe,a grey suit jacket with a subtle pinstripe,0.93331265
navy blue tracksuit bottoms with a white stripe,navy blue tracksuit with white stripes,0.92063856
a frozen lake surrounded by trees,a frozen lake surrounded by pine trees,0.92209446
A stormy sea under a grey sky,a stormy grey sea under a heavy sky,0.95927256
A stormy sea under a grey sky,a stormy grey sky over a dark ocean,0.90458596
A stormy sea under a grey sky,a stormy grey sea,0.94421667
A stormy sea under a grey sky,a stormy grey ocean,0.9112197
Blue velvet dress with silver buttons,a navy blue velvet dress with gold buttons,0.9040979
Blue velvet dress with silver buttons,navy blue velvet dress with gold buttons,0.9243827
Blue velvet dress with silver buttons,navy blue velvet dress with silver buttons,0.9661652
Blue velvet dress with silver buttons,teal velvet dress with silver buttons,0.9091205
Green hexagons in a honeycomb pattern,green hexagons forming a honeycomb pattern,0.981351
Green hexagons in a honeycomb pattern,blue hexagons forming a honeycomb pattern,0.90097916
Green hexagons in a honeycomb pattern,blue hexagons in a honeycomb pattern,0.9148934
Green hexagons in a honeycomb pattern,yellow hexagons in a honeycomb pattern,0.91532046
A clear blue sky over a grassy hill,a grassy hill under a clear blue sky,0.95881975
White cotton t-shirt,white cotton t-shirt with a logo,0.9013907
White cotton t-shirt,white cotton t-shirt,1.0000002
Burgundy sweater,burgundy knitted sweater,0.90356565
A snowy forest,a snowy forest,1.0000006
A snowy forest,a snow-covered forest,0.9279165
A snowy forest,a snowy forest in winter,0.95849
Khaki cargo shorts,khaki cargo shorts with large pockets,0.9179389
Khaki cargo shorts,khaki shorts with cargo pockets,0.952505
Khaki cargo shorts,khaki cargo shorts with pockets,0.9263495
Khaki cargo shorts,khaki cargo shorts,1.0000001
A tropical beach at sunrise,a tropical beach at sunrise,0.9999999
Silk tie with a paisley pattern,a silk tie with a paisley pattern,0.9884882
A volcanic landscape,a volcanic landscape,0.99999994
Magenta ovals overlapping,overlapping magenta and orange ovals,0.9052546
Purple geometric shapes,purple geometric shapes,1.0000001
Striped socks,striped cotton socks,0.9287219
A rainbow over a valley,a rainbow arching over a valley,0.940305
A rainbow over a valley,a rainbow over a green valley,0.95596147
navy blue velvet dress with gold trim,navy blue velvet dress with lace trim,0.9026488
olive green cargo shorts with large pockets,olive green cargo shorts,0.92921567
olive green cargo shorts with large pockets,green cargo shorts with large pockets,0.92796916
olive green cargo shorts with large pockets,Olive green cargo shorts,0.92921567
olive green cargo shorts with large pockets,olive green cargo shorts with multiple pockets,0.9606166
a rocky coastline at sunrise,a rocky shore at sunrise,0.9084342
black silk tie with a subtle pattern,a patterned silk tie,0.90197104
black silk tie with a subtle pattern,a silver silk tie with a subtle pattern,0.9053308
black silk tie with a subtle pattern,black silk tie with a subtle sheen,0.90490973
black silk tie with a subtle pattern,a silk tie with a subtle pattern,0.94785684
light blue cotton t-shirt,blue cotton t-shirt,0.96881294
a starry night sky over a silhouette of trees,a starry sky over a black silhouette of trees,0.93624425
beige chinos with rolled-up cuffs,beige chinos with rolled cuffs,0.9906297
beige chinos with rolled-up cuffs,beige chinos with folded cuffs,0.9583393
a dense jungle canopy,a lush jungle canopy,0.92031705
dark gray wool trousers,grey wool trousers,0.9561075
dark gray wool trousers,dark grey wool trousers,0.9943066
a grid of small multicolored dots,"a grid of small, colourful dots",0.93247473
white lace top with floral design,white lace top with floral pattern,0.97495425
burgundy corduroy skirt,Burgundy corduroy skirt,0.99999976
navy blue knitted sweater,navy blue wool sweater,0.93391675
translucent overlapping colorful shapes,overlapping translucent blue and green shapes,0.90541273
translucent overlapping colorful shapes,overlapping translucent green shapes,0.9128326
translucent overlapping colorful shapes,overlapping translucent shapes,0.9548919
mustard yellow beanie,Mustard yellow beanie,1.0000002
mustard yellow beanie,mustard yellow beanie hat,0.9115826
shattered glass pattern in shades of blue,shattered glass effect in various shades of blue,0.9167391
a quiet suburban street at dawn,a quiet street at dawn,0.9404664
a red barn in a snowy field,a red barn in a snowy landscape,0.93773425
a stormy sea with a single ship,a stormy sea with a single sailboat,0.9295679
a forest path in autumn,a forest path covered in autumn leaves,0.9186489
a forest path in autumn,a path through a vibrant autumn forest,0.9398105
a forest path in autumn,a pathway through an autumn forest,0.91433555
a forest path in autumn,an autumn forest path,0.97042245
grey flannel shirt,a grey flannel shirt,0.9719025
a foggy cityscape,a foggy cityscape at night,0.9063564
patterned socks with dots,patterned socks with polka dots and stripes,0.9038806
a frozen lake,a frozen lake in winter,0.95138836
a frozen lake,a frozen lake at night,0.91522706
grey tracksuit with white stripes,grey tracksuit with red stripes,0.94701433
a waterfall in a jungle,a waterfall in a lush jungle,0.9744613
a waterfall in a jungle,a hidden waterfall in a jungle,0.95959365
a waterfall in a jungle,a misty waterfall in a jungle,0.91284406
interweaving silver curves,interweaving silver and black curves,0.92843235
patterned tie with paisley,a patterned tie (paisley),0.97564495
a rainbow over a hill,a rainbow over a green hill,0.9574119
a rainbow over a hill,a rainbow over a grassy hill,0.95013136
a rainbow over a hill,a rainbow over rolling hills,0.9309869
teal geometric patterns on a white background,teal geometric pattern on a black background,0.90841407
teal geometric patterns on a white background,teal geometric pattern on a white background,0.9822947
emerald green and gold abstract shapes,emerald green abstract shapes,0.9214706
purple and orange checkered shirt,purple and orange checked shirt,0.93928725
a deep space nebula,a deep space view with nebulae,0.9030365
a deep space nebula,a starry nebula in deep space,0.9170343
a deep space nebula,a deep space scene with nebulas,0.9077081
a sun-drenched desert landscape,a sunlit desert landscape,0.94073886
a sun-drenched desert landscape,a desert landscape under a bright sun,0.92255294
bronze rings linked together,bronze rings intertwined,0.90534866
a field of lavender under a blue sky,a lavender field under a pale sky,0.91685283
a field of lavender under a blue sky,a field of lavender under a cloudy sky,0.9383489
a field of lavender under a blue sky,a field of lavender under a sunset sky,0.9192656
a close-up of peacock feathers,a close-up of a peacock feather,0.9438139
gray wool sweater with a simple knit,grey wool sweater,0.90231466
gray wool sweater with a simple knit,a cozy grey knitted sweater,0.90647244
a frozen waterfall,a frozen waterfall in winter,0.9392239
a frozen waterfall,a frozen waterfall in a winter landscape,0.90654546
brown corduroy skirt,dark green corduroy skirt,0.904155
brown corduroy skirt,dark brown corduroy skirt,0.9733546
a clear stream flowing through a forest,a clear stream in a forest,0.9618813
a sunrise over rolling hills,a golden sunrise over rolling hills,0.9219333
a sunrise over rolling hills,a sunrise over hills,0.9495102
a lone tree on a hilltop at sunset,a lone tree on a hilltop at sunrise,0.9078685
a lone tree on a hilltop at sunset,a lone tree on a hill at sunset,0.93282974
a deep blue ocean with white caps,a blue ocean with white caps,0.95552593
a deep blue ocean with white caps,a deep blue ocean with whitecaps,0.9529601
beige trench coat with a belt,a beige trench coat with a belt,0.98618674
beige trench coat with a belt,a beige trench coat with belt,0.9881573
interlocking purple and green hexagons,purple and green hexagons interlocking,0.97589
interlocking purple and green hexagons,interlocking hexagons in shades of blue and purple,0.93232507
a winding river through a valley,a winding river through a lush valley,0.93536
charcoal gray suit jacket,Charcoal gray suit jacket,1.0000002
a calm pond reflecting the sky,a quiet pond reflecting the sky,0.94163156
a calm pond reflecting the sky,"a calm, still pond reflecting the sky",0.9678016
an orange sunset over mountains,a purple and orange sunset over mountains,0.92607737
an orange sunset over mountains,a vibrant orange sunset over mountains,0.9782128
an orange sunset over mountains,orange sunset over distant mountains,0.9641048
an orange sunset over mountains,a sunset over mountains,0.9174789
a spiraling galaxy,a spiral galaxy,0.98356783
a lone tree on a hill,a single tree on a hill,0.91386735
a lone tree on a hill,a lone tree on a grassy hill,0.94750935
a winding road,a winding country road,0.90558755
a pattern of tiny dots,a pattern of small dots,0.9901985
a pattern of tiny dots,a pattern of small dots forming a larger shape,0.9097525
a patchwork quilt,a patchwork quilt design,0.9297743
a stack of pancakes with syrup,a stack of colorful pancakes with syrup,0.9613068
a golden desert at dawn,a golden desert at sunrise,0.9281479
a blue river winding through green hills,a winding river through green hills,0.9049028
white cotton t-shirt with a simple logo,a white cotton t-shirt with a simple logo,0.98952496
striped knit sweater,a striped knit sweater in grey and white,0.90660274
a foggy mountain range,a foggy gray mountain range,0.9264623
red dots on a grid,a grid of small red dots,0.9162419
beige linen shirt with rolled sleeves,beige linen shirt with rolled-up sleeves,0.98095036
an icy cave with blue light,an icy cave with blue crystals,0.90828
a winding road through rolling hills,a winding road through hills,0.96744615
cream knitted cardigan,cream cable-knit cardigan,0.9086467
a starry galaxy,a vast starry galaxy,0.9536975
a starry galaxy,A starry galaxy.,0.98209846
dark grey suit jacket,light grey suit jacket,0.94903314
overlapping transparent blue waves,overlapping translucent blue waves,0.96575373
a calm lake reflecting the surrounding trees,a calm lake surrounded by trees,0.90057075
a calm lake reflecting the surrounding trees,a calm lake reflecting green trees,0.9419302
a calm lake reflecting the surrounding trees,a calm lake reflecting the trees,0.9910362
a calm lake reflecting the surrounding trees,a calm green lake reflecting the trees,0.93572843
a mountain range covered in snow,a snowy mountain range,0.9103986
blue denim jeans with distressed knees,blue jeans with distressed knees,0.98372006
blue denim jeans with distressed knees,light blue denim jeans with distressed knees,0.99269843
blue denim jeans with distressed knees,navy blue denim jeans with distressed knees,0.97926974
blue denim jeans with distressed knees,dark blue jeans with distressed knees,0.974399
blue denim jeans with distressed knees,distressed denim jeans with ripped knees,0.91243005
a starry night over a dark forest,a starry night sky above a dark forest,0.9055066
a starry night over a dark forest,a starry night over a forest,0.955712
a rocky coastline with crashing waves,a rocky shoreline with crashing waves,0.9203582
a field of lavender at dusk,a field of lavender under a bright sun,0.9234432
a field of lavender at dusk,a field of lavender at sunset,0.9464743
a field of lavender at dusk,a field of lavender at sunrise,0.90412766
a field of lavender at dusk,a field of lavender under a setting sun,0.9291945
a golden wheat field swaying in the breeze,a field of golden wheat swaying in the wind,0.95174503
a dark cave with an opening to the sky,a dark cave with a small opening,0.909722
green and white abstract shapes,abstract shapes in shades of green,0.90194154
a frozen tundra under an aurora,a frozen tundra under the aurora borealis,0.9693499
brown tweed jacket with elbow patches,brown tweed coat with elbow patches,0.92653286
a winding path through a sunlit meadow,a winding path through a green meadow,0.91011536
a cluster of colorful hot air balloons,a cluster of orange hot air balloons,0.9295681
a cluster of colorful hot air balloons,a group of colorful hot air balloons,0.9241743
white cotton t-shirt with a graphic print,a white t-shirt with a graphic print,0.9432806
white cotton t-shirt with a graphic print,a cotton t-shirt with a graphic print,0.9487126
white cotton t-shirt with a graphic print,a white cotton t-shirt with a graphic print,0.98473287
a forest of abstract shapes in earth tones,abstract shapes in earth tones,0.93077207
white snowy mountains under a clear sky,snowy mountains under a clear sky,0.9171225
charcoal gray wool trousers,charcoal grey suit trousers,0.9235749
a simple green leaf silhouette,a green leaf silhouette,0.97163105
a bright yellow sundress,a flowy yellow sundress,0.9281368
a bright yellow sundress,a yellow sundress with a floral print,0.9019567
a deserted sandy beach at noon,a sandy beach at noon,0.90421194
a distressed leather jacket in brown,a distressed leather jacket,0.93985814
a simple gray t-shirt,a simple grey cotton t-shirt,0.9532131
a simple gray t-shirt,a simple grey t-shirt,0.9877364
a patterned silk tie in blues and greens,a patterned silk tie in shades of blue,0.9107506
a calm ocean surface,a calm ocean,0.92705405
red and yellow circles on a white background,red circles on a white background,0.9358109
a green and brown abstract landscape,bright green abstract landscape,0.90047944
a beige and white checkerboard,a checkerboard of brown and beige,0.9211929
a simple green leaf,a single green leaf,0.9001491
a crimson sphere,crimson sphere,0.9302289
teal triangles forming a pattern,teal triangles forming a geometric pattern,0.9686724
a grey asphalt road,dark gray asphalt road,0.93196976
a fiery orange sunset,a bright orange sunset,0.91875803
aqua concentric rings,aqua and orange concentric rings,0.9149941
a brick wall texture,a red brick wall texture,0.9047007
grey sweatpants with drawstring waist,light grey sweatpants with a drawstring waist,0.9726901
grey sweatpants with drawstring waist,gray sweatpants with a drawstring,0.9138818
grey sweatpants with drawstring waist,grey sweatpants with a drawstring waist,0.99193895
cyan zig-zag lines,cyan and black zig-zag lines,0.91871953
a dark starry night sky,"a dark, starry night sky",0.9896074
a dark starry night sky,a dark blue starry night sky,0.9076082
a dark starry night sky,a clear starry night sky,0.9183815
a dark starry night sky,a bright starry night sky,0.94456124
a bright green meadow,a vibrant green meadow under a clear sky,0.9316709
a bright green meadow,a vibrant green meadow,0.9747094
a minimalist landscape with a single tree,a minimalist landscape with a single black tree,0.9296099
a cluster of balloons,a cluster of brightly colored balloons,0.9345085
a blurry cityscape at night,a blurred cityscape at night,0.9666827
concentric rings of color,concentric rings of different colors,0.96977746
concentric rings of color,concentric rings of different pastel colors,0.9052438
a grey concrete texture,light gray concrete texture,0.94846827
a grey concrete texture,light grey concrete texture,0.95609266
a grey concrete texture,a gray concrete texture,0.98807335
a grey concrete texture,a gray concrete wall texture,0.917837
a foggy morning in the mountains,a foggy morning in a mountain range,0.95715487
a pattern of scattered stars,"a pattern of small, scattered stars",0.95322883
a calm blue ocean surface,a calm blue ocean,0.9456663
a calm blue ocean surface,a calm ocean surface under a blue sky,0.9348682
a vibrant coral reef teeming with fish,A vibrant coral reef teeming with fish,1.0000001
a vibrant coral reef teeming with fish,a coral reef teeming with fish,0.9531188
a vibrant coral reef teeming with fish,a coral reef teeming with colorful fish,0.9485456
a simple geometric pattern of teal and orange squares,a checkered pattern of teal and orange squares,0.90544915
a rustic wooden cabin in a snowy forest,a wooden cabin nestled in snowy woods,0.9243002
a close-up of a single dewdrop on a green leaf,a single dewdrop on a leaf,0.94024795
a close-up of a single dewdrop on a green leaf,a close-up of a dewdrop on a leaf,0.95780563
a close-up of a single dewdrop on a green leaf,a single dewdrop on a green leaf,0.971151
a serene Japanese garden with a koi pond,a tranquil Japanese garden with a koi pond,0.94702893
a heap of colorful building blocks,a stack of colourful building blocks,0.92128146
a heap of colorful building blocks,a stack of colorful building blocks,0.93958294
a calm lake reflecting the surrounding mountains,a calm lake reflecting the mountains,0.9897876
a calm lake reflecting the surrounding mountains,a calm lake surrounded by mountains,0.90328395
a calm lake reflecting the surrounding mountains,a tranquil lake reflecting the surrounding mountains,0.90211684
a single feather falling through the air,a single feather falling,0.9441665
a still life of fruit in a bowl,a still life with a bowl of fruit,0.9635105
a close-up of woven texture,a close-up of a textured fabric,0.9031241
a collection of antique keys,a collection of vintage keys,0.9240743
a clear night sky with many stars,a clear night sky with a single star,0.9236238
a single burning candle,a burning candle,0.9162239
a golden desert under a clear sky,a golden desert under a blue sky,0.91463184
a clear blue sky with scattered clouds,a clear blue sky with a few clouds,0.91623455
a clear blue sky with scattered clouds,a clear blue sky with scattered white clouds,0.9420847
a clear blue sky with scattered clouds,a blue sky with scattered clouds,0.97200257
pink satin dress with lace details,pink silk dress with lace details,0.90724385
a desert oasis with a few palm trees,a desert oasis with palm trees,0.9924607
white sneakers with red laces,white canvas sneakers with red laces,0.9058694
white sneakers with red laces,Red sneakers with white laces.,0.98080295
a simple house with a red roof,a simple red house with a black roof,0.92506194
blue denim jacket,light blue denim jacket,0.9565588
blue denim jacket,dark blue denim jacket,0.94391733
orange triangles in a pattern,a pattern of repeated small orange triangles,0.9073974
a mountain range,a distant mountain range,0.9212476
brown leather belt,a brown leather belt,0.97043216
brown leather belt,a patterned brown leather belt,0.9317634
a sandy beach,a white sandy beach,0.90449417
a grey and orange geometric pattern,a geometric pattern in grey and yellow,0.92457104
a clear night sky with one large moon,a clear night sky with a moon,0.9116336
a clear night sky with one large moon,a clear night sky with a full moon,0.90176284
a black suit jacket,a classic black suit jacket,0.9344332
a pattern of interconnected green hexagons,interconnected green hexagons,0.93350947
scattered colorful confetti,scattered colored confetti,0.9737381
a pink and purple gradient background,a pink gradient background,0.94765866
a green field with scattered wildflowers,a green field with wildflowers,0.9470583
a volcanic landscape with orange lava,a volcanic landscape with orange lava flows,0.96259516
a white lace blouse,white lace blouse,0.9809884
a gradient from cyan to magenta,magenta and cyan gradient,0.940819
a black and white optical illusion,a simple black and white optical illusion,0.9865337
abstract blue and green waves,abstract waves of blue and green,0.9863842
geometric pattern of yellow hexagons,geometric pattern of black and yellow hexagons,0.944898
geometric pattern of yellow hexagons,a geometric pattern of red and yellow hexagons,0.9472972
a calm blue lake at sunrise,a blue lake at dawn,0.90170604
a winding river through a desert,a winding river through a desert canyon,0.92706126
a deep blue ocean,a dark blue ocean,0.9231764
a gray hooded sweatshirt,a grey hooded sweatshirt,0.98981935
a gray hooded sweatshirt,grey hooded sweatshirt,0.94941074
rolling hills under a cloudy sky,a cloudy sky over rolling hills,0.9424343
a complex knot of brown ropes,a complex knot of ropes,0.91839814
teal and gold circles overlapping,teal and gold circles overlapping in a grid,0.9014165
teal and gold circles overlapping,teal and gold overlapping circles,0.98778737
teal and gold circles overlapping,teal rectangles overlapping with gold circles,0.9157524
a sandy beach at sunrise,a sandy beach at dawn,0.9200517
striped cotton t-shirt,a striped cotton t-shirt,0.9811908
beige linen trousers with wide legs,beige wide-leg trousers,0.9447814
grey wool sweater with a crew neck,charcoal grey wool sweater with a crew neck,0.9626269
a field of lavender,a field of purple lavender,0.9208326
a field of lavender,a field of lavender flowers,0.9119878
a stormy sea with crashing waves,A stormy sea with crashing waves,1.0000001
yellow rain jacket with hood,yellow rain jacket with a hood,0.9953635
yellow rain jacket with hood,yellow raincoat with hood,0.9034425
yellow rain jacket with hood,bright yellow rain jacket with a hood,0.97684824
a grid of black and white dots,a grid of small black dots,0.9224228
green canvas backpack,olive green canvas backpack,0.92734164
a crimson sunset over a calm lake,a crimson and gold sunset over a calm lake,0.9507104
olive green corduroy jacket with a shearling lining,olive green corduroy jacket,0.9051806
charcoal grey wool sweater with a V-neck,grey wool sweater with a V-neck,0.9556577
a starry night over a vast ocean,a starry night over a calm ocean,0.95866513
floral print sundress,a floral print sundress,0.98009276
a red and gold abstract pattern,red and gold abstract pattern,0.9741186
geometric shapes in shades of gray and black,geometric shapes in shades of grey,0.9320128
abstract waves in multiple colors,Abstract waves of multiple colors.,0.9785545
a green field with a single oak tree,a vibrant green field under a single oak tree,0.9358012
a misty morning in a pine forest,a misty forest morning,0.92614293
a misty morning in a pine forest,a misty morning in a forest,0.95505846
a misty morning in a pine forest,a misty morning in the woods,0.9045553
a misty morning in a pine forest,a misty forest in the morning,0.9292972
randomly scattered pink and cyan dots,scattered pink and cyan dots,0.9401951
a quiet village nestled in a valley,a quiet village nestled in a green valley,0.9161955
a hot air balloon in the sky,a red hot air balloon in the sky,0.9088956
a hot air balloon in the sky,a sky filled with hot air balloons,0.9139714
a calm river flowing through a forest,a calm river through a forest,0.97651637
a calm river flowing through a forest,a calm river in a forest,0.9501555
a close-up of woven fabric,a close up of woven fabric,0.9923924
a simple outline of a house,a simple house outline,0.9768647
a stack of different colored books,a stack of multicolored books,0.95530295
a crumpled piece of paper,a crumpled piece of white paper,0.9497225
a close-up of bark on a tree,a close-up of tree bark,0.96775776
a lone tree on a windswept hill,a lonely tree on a windswept hill,0.9165233
a majestic mountain range at sunrise,a mountain range at sunrise,0.9528757
a stack of books on a bedside table,a stack of colorful books on a bedside table,0.9240768
a chameleon on a branch,a bright green chameleon on a branch,0.91076803
a group of birds in flight,a flock of birds in flight,0.9304125
a group of birds in flight,a group of flying birds,0.94147336
